Minor,Year,Link,Requirements
Applied Language Studies Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Applied-Language-Studies-Minor.html,"{'1.': 'APPLS 205R, APPLS 301/GER 301, APPLS 304R, APPLS 306R', '2. four approved language courses\xa0(all in one language that is not the students first language, or two in each of two languages that are not the students first language):': ['ARABIC 101R, ARABIC 102R, ARABIC 120R, ARABIC 201R, ARABIC 202R, ARABIC 301R, ARABIC 302R', 'ASL 101R, ASL 102R', 'CHINA 101R, CHINA 102R, CHINA 120R, CHINA 200R, CHINA 201R, CHINA 202R, CHINA 301R, CHINA 302R, CHINA 310R, CHINA 320R, CHINA 390R,\xa0CHINA 391R, CHINA 401R, CHINA 402R', 'CROAT 101, CROAT 102, CROAT 299', 'DUTCH 101, DUTCH 102', 'EMLS 101R, EMLS 102R, EMLS 103R, EMLS 104R, EMLS 105R,\xa0EMLS 110R, EMLS 129R/ENGL 129R', 'FR 101, FR 151, FR 152, FR 192A, FR 192B, FR 203, FR 250, FR 251, FR 252, FR 255, FR 303,\xa0FR 351, FR 353, FR 355, FR 373,\xa0FR 400, FR 403, FR 452, FR 473', 'GER 101, GER 102, GER 201, GER 202, GER 211, GER 250, GER 299,\xa0GER 303, GER 304, GER 307, GER 308, GER 331, GER 350', 'GRK 101/RS 101, GRK 102/RS 102, GRK 105, GRK 201/RS 223, GRK 202/RS 224, GRK 351, GRK 451', 'ITAL 101, ITAL 102, ITAL 155, ITAL 201, ITAL 202, ITAL 251', 'JAPAN 101R, JAPAN 102R, JAPAN 111R, JAPAN 112R, JAPAN 201R, JAPAN 202R, JAPAN 301R, JAPAN 302R,\xa0JAPAN 391R', 'KOREA 101R, KOREA 102R, KOREA 201R, KOREA 202R, KOREA 301R, KOREA 302R,\xa0KOREA 391R', 'LAT 101, LAT 102, LAT 201, LAT 202, LAT 351, LAT 451', 'MOHAWK 101R/INDG 101, MOHAWK 102R/INDG 102', 'PORT 101, PORT 102', 'RUSS 101, RUSS 102', 'SPAN 101, SPAN 102, SPAN 201A, SPAN 201B, SPAN 210,\xa0SPAN 301A, SPAN 301B']}"
Applied Language Studies Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Applied-Language-Studies-Minor.html,"{'1.': 'APPLS 205R, APPLS 301/GER 301, APPLS 304R, APPLS 306R', '2. four approved language courses\xa0(all in one language that is not the students first language, or two in each of two languages that are not the students first language):': ['ARABIC 101R, ARABIC 102R, ARABIC 120R, ARABIC 201R, ARABIC 202R, ARABIC 301R, ARABIC 302R', 'ASL 101R, ASL 102R', 'CHINA 101R, CHINA 102R, CHINA 120R, CHINA 201R, CHINA 202R, CHINA 301R, CHINA 302R, CHINA 310R, CHINA 320R, CHINA 390R,\xa0CHINA 391R, CHINA 401R, CHINA 402R', 'CROAT 101, CROAT 102, CROAT 299', 'DUTCH 101, DUTCH 102', 'EMLS 101R, EMLS 102R, EMLS 103R, EMLS 104R, EMLS 105R,\xa0EMLS 110R, EMLS 129R/ENGL 129R', 'FR 101, FR 151, FR 152, FR 192A, FR 192B, FR 203, FR 250, FR 251, FR 252, FR 255, FR 303,\xa0FR 351, FR 353, FR 355, FR 373,\xa0FR 400, FR 403, FR 452, FR 473', 'GER 101, GER 102, GER 201, GER 202, GER 211, GER 250, GER 299,\xa0GER 303, GER 304, GER 307, GER 308, GER 331, GER 350', 'GRK 101/RS 101, GRK 102/RS 102, GRK 105, GRK 201/RS 223, GRK 202/RS 224, GRK 351, GRK 451', 'ITAL 101, ITAL 102, ITAL 155, ITAL 201, ITAL 202, ITAL 251', 'JAPAN 101R, JAPAN 102R, JAPAN 111R, JAPAN 112R, JAPAN 201R, JAPAN 202R, JAPAN 301R, JAPAN 302R,\xa0JAPAN 391R', 'KOREA 101R, KOREA 102R, KOREA 201R, KOREA 202R, KOREA 301R, KOREA 302R,\xa0KOREA 391R', 'LAT 101, LAT 102, LAT 201, LAT 202, LAT 351, LAT 451', 'MOHAWK 101R/INDG 101, MOHAWK 102R/INDG 102', 'PORT 101, PORT 102', 'RUSS 101, RUSS 102', 'SPAN 101, SPAN 102, SPAN 201A, SPAN 201B, SPAN 210,\xa0SPAN 301A, SPAN 301B']}"
Applied Mathematics Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Applied-Mathematics-Minor1.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 for Honours Mathematics (Advanced Level)'], '2. One of': ['MATH 104 Introductory Calculus for Arts and Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 for Honours Mathematics (Advanced)'], '3. One of': ['MATH 118 Calculus 2 for Engineering', 'MATH 119 Calculus 2 for Engineering', 'MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 for Honours Mathematics (Advanced)'], '4. One of': ['MATH 212/ECE 206 Calculus 2 for Electrical Engineers', 'MATH 217 Calculus 3 for Chemical Engineering', 'MATH 227 Calculus 3 for Honours Physics', 'MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 for Honours Mathematics (Advanced Level)'], '5. One of': ['AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced)', 'MATH 211/ECE 205 Advanced Calculus 1 for Electrical and Computer Engineers', 'MATH 213 Advanced Mathematics for Software Engineers', 'MATH 218 Differential Equations for Engineers', 'MATH 228 Differential Equations for Physics and Chemistry'], '6. 2.5 additional units of AMATH courses, at least 1.5 units of which are at the 300- or 400-level': []}"
Applied Mathematics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Applied-Mathematics-Minor1.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 for Honours Mathematics (Advanced Level)'], '2. One of': ['MATH 104 Introductory Calculus for Arts and Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced)'], '3. One of': ['MATH 118 Calculus 2 for Engineering', 'MATH 119 Calculus 2 for Engineering', 'MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 (Advanced)'], '4. One of': ['MATH 212/ECE 206\xa0Adv Calculus 2 for Electrical Engineers', 'MATH 217 Calculus 3 for Chemical Engineering', 'MATH 227 Calculus 3 for Honours Physics', 'MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '5. One of': ['AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced)', 'MATH 211/ECE 205 Advanced Calculus 1 for Electrical and Computer Engineers', 'MATH 213 Advanced Mathematics for Software Engineers', 'MATH 218 Differential Equations for Engineers', 'MATH 228 Differential Equations for Physics and Chemistry'], '6. 2.5 additional units of AMATH courses, at least 1.5 units of which are at the 300- or 400-level': []}"
Applied Mathematics Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Applied-Mathematics-Minor1.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 for Honours Mathematics (Advanced Level)'], '2. One of': ['MATH 104 Introductory Calculus for Arts and Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 for Honours Mathematics (Advanced)'], '3. One of': ['MATH 118 Calculus 2 for Engineering', 'MATH 119 Calculus 2 for Engineering', 'MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 for Honours Mathematics (Advanced)'], '4. One of': ['MATH 212/ECE 206 Calculus 2 for Electrical Engineers', 'MATH 217 Calculus 3 for Chemical Engineering', 'MATH 227 Calculus 3 for Honours Physics', 'MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 for Honours Mathematics (Advanced Level)'], '5. One of': ['AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced)', 'MATH 211/ECE 205 Advanced Calculus 1 for Electrical and Computer Engineers', 'MATH 213 Advanced Mathematics for Software Engineers', 'MATH 218 Differential Equations for Engineers', 'MATH 228 Differential Equations for Physics and Chemistry'], '6. 2.5 additional units of AMATH courses, at least 1.5 units of which are at the 300- or 400-level': []}"
Applied Mathematics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Applied-Mathematics-Minor1.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 for Honours Mathematics (Advanced Level)'], '2. One of': ['MATH 104 Introductory Calculus for Arts and Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced)'], '3. One of': ['MATH 118 Calculus 2 for Engineering', 'MATH 119 Calculus 2 for Engineering', 'MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 (Advanced)'], '4. One of': ['MATH 212/ECE 206\xa0Adv Calculus 2 for Electrical Engineers', 'MATH 217 Calculus 3 for Chemical Engineering', 'MATH 227 Calculus 3 for Honours Physics', 'MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '5. One of': ['AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced)', 'MATH 211/ECE 205 Advanced Calculus 1 for Electrical and Computer Engineers', 'MATH 213 Advanced Mathematics for Software Engineers', 'MATH 218 Differential Equations for Engineers', 'MATH 228 Differential Equations for Physics and Chemistry'], '6. 2.5 additional units of AMATH courses, at least 1.5 units of which are at the 300- or 400-level': []}"
Artificial Intelligence Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENG-Artificial-Intelligence-Engineering-Option.html,"{'1.': 'ECE 457A Co-operative and Adaptive Algorithms or', '2.': 'MSCI 435 Advanced Optimization Techniques', '3.': 'MSCI 442 Impact of Information Systems on Organizations and Society'}"
Artificial Intelligence Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENG-Artificial-Intelligence-Engineering-Option.html,"{'1.': 'MSCI 442 Impact of Information Systems on Organizations and Society', '2.': 'STV 205 Cybernetics and Society', '3.': 'STV 208 Artificial Intelligence and Society: Impact, Ethics, and Equity', '4.': 'STV 210/HIST 212 The Computing Society'}"
Astrophysics Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/Sci-Astrophysics-Minor.html,"{'1.': '5.0 units distributed as follows:', '2.': '1.0 PHYS unit: PHYS 121,\xa0PHYS 122', '3.': '2.0 PHYS elective units selected from:', '4.': 'PHYS 175, PHYS 267,\xa0PHYS 275, PHYS 375, PHYS 474, PHYS 475, PHYS 476', '5.': '2.0 PHYS elective units', '6. A minimum cumulative average of 60% in all PHYS courses.': []}"
Astrophysics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/Sci-Astrophysics-Minor.html,"{'1.': '5.0 units distributed as follows:', '2.': '1.0 PHYS unit: PHYS 121,\xa0PHYS 122', '3.': '2.0 PHYS elective units selected from:', '4.': 'PHYS 175, PHYS 267,\xa0PHYS 275, PHYS 375, PHYS 474, PHYS 475, PHYS 476/AMATH 475', '5.': '2.0 PHYS elective units', '6. A minimum cumulative Physics average of 60%.': []}"
