Minor,Year,Link,Requirements
Combinatorics and Optimization Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Combinatorics-and-Optimization-Minor2.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Social Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '2. One of': ['ECE 103 Discrete Mathematics', 'MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)', 'PMATH 340 Elementary Number Theory'], '3. One of': ['MATH 104 Introductory Calculus for Arts and Social Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '4. All of': ['CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'MATH 239 Introduction to Combinatorics or MATH 249 Introduction to Combinatorics (Advanced Level)'], '5. Three of': ['CO 330 Combinatorial Enumeration', 'CO 331 Coding Theory', 'CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 430 to CO 487, excluding CO 480']}"
Combinatorics and Optimization Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Combinatorics-and-Optimization-Minor2.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Social Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '2. One of': ['MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)'], '3. One of': ['MATH 104 Introductory Calculus for Arts and Social Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '4. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '5. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '6. Three of': ['CO 330 Combinatorial Enumeration', 'CO 331 Coding Theory', 'CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 430 Algebraic Enumeration', 'CO 431 Symmetric Functions', 'CO 432 Information Theory and Applications', 'CO 434 Combinatorial Designs', 'CO 439 Topics in Combinatorics', 'CO 440 Topics in Graph Theory', 'CO 442 Graph Theory', 'CO 444 Algebraic Graph Theory', 'CO 446 Matroid Theory', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 459 Topics in Optimization', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 481 Introduction to Quantum Information Processing', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 486 Topics in Quantum Information', 'CO 487 Applied Cryptography']}"
Combinatorics and Optimization Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Combinatorics-and-Optimization-Minor2.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Social Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '2. One of': ['ECE 103 Discrete Mathematics', 'MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)', 'PMATH 340 Elementary Number Theory'], '3. One of': ['MATH 104 Introductory Calculus for Arts and Social Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '4. All of': ['CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'MATH 239 Introduction to Combinatorics or MATH 249 Introduction to Combinatorics (Advanced Level)'], '5. Three of': ['CO 330 Combinatorial Enumeration', 'CO 331 Coding Theory', 'CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 430 to CO 487, excluding CO 480']}"
Combinatorics and Optimization Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Combinatorics-and-Optimization-Minor2.html,"{'1. One of': ['MATH 103 Introductory Algebra for Arts and Social Science', 'MATH 106 Applied Linear Algebra 1', 'MATH 114 Linear Algebra for Science', 'MATH 115 Linear Algebra for Engineering', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '2. One of': ['MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)'], '3. One of': ['MATH 104 Introductory Calculus for Arts and Social Science', 'MATH 116 Calculus 1 for Engineering', 'MATH 117 Calculus 1 for Engineering', 'MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '4. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '5. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '6. Three of': ['CO 330 Combinatorial Enumeration', 'CO 331 Coding Theory', 'CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 430 Algebraic Enumeration', 'CO 431 Symmetric Functions', 'CO 432 Information Theory and Applications', 'CO 434 Combinatorial Designs', 'CO 439 Topics in Combinatorics', 'CO 440 Topics in Graph Theory', 'CO 442 Graph Theory', 'CO 444 Algebraic Graph Theory', 'CO 446 Matroid Theory', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 459 Topics in Optimization', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 481 Introduction to Quantum Information Processing', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 486 Topics in Quantum Information', 'CO 487 Applied Cryptography']}"
Communication Studies Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Communication-Studies-Minor.html,"{'1.': 'four of SPCOM 100, SPCOM 101, SPCOM 220/THPERF 220, SPCOM 223, SPCOM 226, SPCOM 228', '2. four courses, one of which must be at the 400-level, from the following:\xa0THPERF 282, THPERF 284, THPERF 371, THPERF 376, THPERF 378, any DAC course, any additional\xa0SPCOM course': []}"
Communication Studies Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Communication-Studies-Minor.html,"{'1.': 'four of COMMST 100, COMMST 101, COMMST 220/THPERF 220\xa0or COMMST 224/BLKST 224/THPERF 224, COMMST 223, COMMST 226, COMMST 228', '2. four additional courses from COMMST or DAC, one of which must be at the 400-level': []}"
Computational Mathematics Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computational-Mathematics-Minor.html,"{'1. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '2. Three of': ['AMATH 342 Computational Methods for Differential Equations', 'CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'CS 245 Logic and Computation or PMATH 330 Introduction to Mathematical Logic or SE 212 Logic and Computation', 'CS 246 Object-Oriented Software Development or CS 247 Software Engineering Principles', 'CS 475 Computational Linear Algebra', 'STAT 340 Stochastic Simulation Methods or STAT 341 Computational Statistics and Data Analysis'], '3. Three additional courses from the following list, using at least two different subject codes (from AMATH, CO, CS, PMATH, or STAT)': ['AMATH 343 Discrete Models in Applied Mathematics', 'AMATH 382/BIOL 382 Computational Modelling of Cellular Systems (see Note 5)', 'AMATH 383 Introduction to Mathematical Biology'], '4. AMATH 391 From Fourier to Wavelets': ['AMATH 455 Control Theory', 'AMATH 477 Stochastic Processes for Applied Mathematics', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 487 Applied Cryptography', 'CS 341 Algorithms', 'CS 431 Data-Intensive Distributed Analytics or CS 451 Data-Intensive Distributed Computing', 'CS 466 Algorithm Design and Analysis', 'CS 476 Numerical Computation for Financial Modeling', 'CS 479 Neural Networks', 'CS 480 Introduction to Machine Learning', 'CS 482 Computational Techniques in Biological Sequence Analysis', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 487 Introduction to Symbolic Computation', 'PMATH 370 Chaos and Fractals', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 442 Data Visualization', 'STAT 444 Statistical Learning - Advanced Regression']}"
Computational Mathematics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Computational-Mathematics-Minor.html,"{'1. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '2. Three of': ['AMATH 342 Computational Methods for Differential Equations', 'CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'CS 245 Logic and Computation or  CS 245E Logic and Computation (Enriched) or PMATH 330 Introduction to Mathematical Logic or SE 212 Logic and Computation', 'CS 246 Object-Oriented Software Development or CS 246E Object-Oriented Software Development (Enriched) or CS 247 Software Engineering Principles', 'CS 475 Computational Linear Algebra', 'STAT 340 Stochastic Simulation Methods or STAT 341 Computational Statistics and Data Analysis'], '3. Three additional courses from the following list, using at least two different subject codes (from AMATH, CO, CS, PMATH, or STAT)': ['AMATH 343 Discrete Models in Applied Mathematics', 'AMATH 382/BIOL 382 Computational Modelling of Cellular Systems (see Note 3)', 'AMATH 383 Introduction to Mathematical Biology'], '4. AMATH 391 From Fourier to Wavelets': ['AMATH 455 Control Theory', 'AMATH 477 Stochastic Processes for Applied Mathematics', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 487 Applied Cryptography', 'CS 341 Algorithms', 'CS 431 Data-Intensive Distributed Analytics or CS 451 Data-Intensive Distributed Computing', 'CS 466 Algorithm Design and Analysis', 'CS 476 Numerical Computation for Financial Modeling', 'CS 479 Neural Networks', 'CS 480 Introduction to Machine Learning', 'CS 482 Computational Techniques in Biological Sequence Analysis', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 487 Introduction to Symbolic Computation', 'PMATH 370 Chaos and Fractals', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 442 Data Visualization', 'STAT 444 Statistical Learning - Advanced Regression']}"
Computational Mathematics Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computational-Mathematics-Minor.html,"{'1. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '2. Three of': ['AMATH 342 Computational Methods for Differential Equations', 'CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'CS 245 Logic and Computation or PMATH 330 Introduction to Mathematical Logic or SE 212 Logic and Computation', 'CS 246 Object-Oriented Software Development or CS 247 Software Engineering Principles', 'CS 475 Computational Linear Algebra', 'STAT 340 Stochastic Simulation Methods or STAT 341 Computational Statistics and Data Analysis'], '3. Three additional courses from the following list, using at least two different subject codes (from AMATH, CO, CS, PMATH, or STAT)': ['AMATH 343 Discrete Models in Applied Mathematics', 'AMATH 382/BIOL 382 Computational Modelling of Cellular Systems (see Note 5)', 'AMATH 383 Introduction to Mathematical Biology', 'AMATH 391 From Fourier to Wavelets', 'AMATH 455 Control Theory', 'AMATH 477 Stochastic Processes for Applied Mathematics', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 487 Applied Cryptography', 'CS 341 Algorithms', 'CS 431 Data-Intensive Distributed Analytics or CS 451 Data-Intensive Distributed Computing', 'CS 466 Algorithm Design and Analysis', 'CS 476 Numerical Computation for Financial Modeling', 'CS 479 Neural Networks', 'CS 480 Introduction to Machine Learning', 'CS 482 Computational Techniques in Biological Sequence Analysis', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 487 Introduction to Symbolic Computation', 'PMATH 370 Chaos and Fractals', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 442 Data Visualization', 'STAT 444 Statistical Learning - Advanced Regression']}"
Computational Mathematics Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Computational-Mathematics-Minor.html,"{'1. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '2. Three of': ['AMATH 342 Computational Methods for Differential Equations', 'CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'CS 245 Logic and Computation or  CS 245E Logic and Computation (Enriched) or PMATH 330 Introduction to Mathematical Logic or SE 212 Logic and Computation', 'CS 246 Object-Oriented Software Development or CS 246E Object-Oriented Software Development (Enriched) or CS 247 Software Engineering Principles', 'CS 475 Computational Linear Algebra', 'STAT 340 Stochastic Simulation Methods or STAT 341 Computational Statistics and Data Analysis'], '3. Three additional courses from the following list, using at least two different subject codes (from AMATH, CO, CS, PMATH, or STAT)': ['AMATH 343 Discrete Models in Applied Mathematics', 'AMATH 382/BIOL 382 Computational Modelling of Cellular Systems (see Note 3)', 'AMATH 383 Introduction to Mathematical Biology', 'AMATH 391 From Fourier to Wavelets', 'AMATH 455 Control Theory', 'AMATH 477 Stochastic Processes for Applied Mathematics', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 487 Applied Cryptography', 'CS 341 Algorithms', 'CS 431 Data-Intensive Distributed Analytics or CS 451 Data-Intensive Distributed Computing', 'CS 466 Algorithm Design and Analysis', 'CS 476 Numerical Computation for Financial Modeling', 'CS 479 Neural Networks', 'CS 480 Introduction to Machine Learning', 'CS 482 Computational Techniques in Biological Sequence Analysis', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 487 Introduction to Symbolic Computation', 'PMATH 370 Chaos and Fractals', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 442 Data Visualization', 'STAT 444 Statistical Learning - Advanced Regression']}"
Computer Engineering Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENG-Computer-Engineering-Option2.html,"{'1. Two of:': ['ECE 320 Computer Architecture', 'ECE 327 Digital Hardware Systems', 'ECE 423 Embedded Computer Systems', 'ECE 455 Embedded Software'], '2. Five additional courses from the topics list below, one of which may be substituted with a course from the data structures and algorithms list.': [], '3. One course from List A Complementary Studies Requirements for Engineering Students that considers application of computing technology, or an alternative approved by the option co-ordinator.': []}"
Computer Engineering Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENG-Computer-Engineering-Option2.html,"{'1. Two of:': ['ECE 320 Computer Architecture', 'ECE 327 Digital Hardware Systems', 'ECE 423 Embedded Computer Systems', 'ECE 455 Embedded Software'], '2. Five additional courses from the topics list below, one of which may be substituted with a course from the data structures and algorithms list.': [], '3. One course from List A Complementary Studies Course Lists for Engineering Students that considers application of computing technology, or an alternative approved by the option co-ordinator.': []}"
Computer Science Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Science-Minor-2.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. A minimum of 4.25 CS units including:': [], '3. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)', 'CS 136L Tools and Techniques for Software Development'], '4. One of': ['CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '5. One additional course from CS 340-CS 398, CS 440-CS 498': [], '6. Five additional courses from CS 240-CS 299, CS 340-CS 398, CS 440-CS 498': []}"
Computer Science Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Computer-Science-Minor-2.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. A minimum of 4.25 CS units including:': [], '3. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)', 'CS 136L Tools and Techniques for Software Development'], '4. One of': ['CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '5. One additional course from CS 340-CS 398, CS 440-CS 498': [], '6. Five additional courses from CS 240-CS 299, CS 340-CS 398, CS 440-CS 498': []}"
Computer Science Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Computer-Science-Minor-2.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. A minimum of 4.25 CS units including:': [], '3. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)', 'CS 136L Tools and Techniques for Software Development'], '4. One of': ['CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '5. One additional course from CS 340-CS 398, CS 440-CS 498': [], '6. Five additional courses from CS 240-CS 299, CS 340-CS 398, CS 440-CS 498': []}"
Computer Science Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Science-Minor-2.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. A minimum of 4.25 CS units including:': [], '3. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)', 'CS 136L Tools and Techniques for Software Development'], '4. One of': ['CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '5. One additional course from CS 340-CS 398, CS 440-CS 498': [], '6. Five additional courses from CS 240-CS 299, CS 340-CS 398, CS 440-CS 498': []}"
Computing Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computing-Minor.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 116 Introduction to Computer Science 2', 'CS 136 Elementary Algorithm Design and Data Abstraction and CS 136L Tools and Techniques for Software Development', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level) and CS 136L Tools and Techniques for Software Development'], '3. One additional CS course from CS 100-CS 146, CS 200-CS 299, CS 300-CS 398, CS 400-CS 498': [], '4. Four additional courses from CS 200-CS 299, CS 300-CS 398, CS 400-CS 498, COMM 432': [], '5. One additional course from CS 300-CS 398, CS 400-CS 498': []}"
Computing Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Computing-Minor.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 114 Principles of Computing for Science', 'CS 116 Introduction to Computer Science 2', 'CS 136 Elementary Algorithm Design and Data Abstraction and CS 136L Tools and Techniques for Software Development', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level) and CS 136L Tools and Techniques for Software Development'], '3. One additional CS course from CS 100-CS 146, CS 200-CS 299, CS 300-CS 398, CS 400-CS 498': [], '4. Four additional courses from CS 200-CS 299, CS 300-CS 398, CS 400-CS 498, COMM 432': [], '5. One additional course from CS 300-CS 398, CS 400-CS 498': []}"
Computing Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computing-Minor.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 116 Introduction to Computer Science 2', 'CS 136 Elementary Algorithm Design and Data Abstraction and CS 136L Tools and Techniques for Software Development', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level) and CS 136L Tools and Techniques for Software Development'], '3. One additional CS course from CS 100-CS 146, CS 200-CS 299, CS 300-CS 398, CS 400-CS 498': [], '4. Four additional courses from CS 200-CS 299, CS 300-CS 398, CS 400-CS 498, COMM 432': [], '5. One additional course from CS 300-CS 398, CS 400-CS 498': []}"
Computing Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/MATH-Computing-Minor.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 114 Principles of Computing for Science', 'CS 116 Introduction to Computer Science 2', 'CS 136 Elementary Algorithm Design and Data Abstraction and CS 136L Tools and Techniques for Software Development', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level) and CS 136L Tools and Techniques for Software Development'], '3. One additional CS course from CS 100-CS 146, CS 200-CS 299, CS 300-CS 398, CS 400-CS 498': [], '4. Four additional courses from CS 200-CS 299, CS 300-CS 398, CS 400-CS 498, COMM 432': [], '5. One additional course from CS 300-CS 398, CS 400-CS 498': []}"
Computing Option,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ENG-Computing-Option.html,"{'1.': 'At least one introductory programming course', '2.': 'At least one data structures and algorithms course', '3. At least two topics courses': [], '4. Two additional courses selected from any list below': []}"
Computing Option,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ENG-Computing-Option.html,"{'1.': 'At least one introductory programming course', '2.': 'At least one data structures and algorithms course', '3. At least two topics courses': [], '4. Two additional courses selected from any list below': []}"
Cultural Identities Minor,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/ARTS-Cultural-Identities-Minor.html,"{'1.': 'CI 100, CI 200/GER 200', '2.': 'one of ANTH 233, ENGL 211/GSJ 211, ENGL 318, FINE 216/INDG 216, FR 276, FR 375, HIST 221, HIST 247, HIST 269, HIST 351, HIST 374, INDG 272/ANTH 272, MENN 125, RS 318/INDG 318, SOC 256, SOC 275, SOC 362', '3. two courses from any of the following language and culture subject codes: ARABIC,\xa0ASL, CHINA, CI,\xa0CROAT, DUTCH, EASIA, FR, GER, GRK, ITAL, ITALST, JAPAN, JS, KOREA, LAT, MOHAWK,\xa0PORT, REES, RUSS, SI, SPAN': [], '4. three additional courses from the second and third bullet lists above, and/or from the following list of Cultural Identities approved courses: ANTH 202, ANTH 221/GSJ 221,\xa0ENGL 280, ENGL 291,\xa0ENGL 322, ENGL 463/GSJ 463, FINE 262/GSJ 262,\xa0HIST 201,\xa0HIST 224,\xa0HIST 271, HIST 305, INDEV 100, MUSIC 110, MUSIC 232, MUSIC 355, PACS 327, PACS 328, PACS 329/LS 344, PHIL 227/INDEV 300, RS 245/HIST 234, RS 284/GSJ 261, SPCOM 226': []}"
Cultural Identities Minor,2023-2024,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2023-2024/page/ARTS-Cultural-Identities-Minor.html,"{'1.': 'CI 100, CI 200/GER 200', '2.': 'one of ANTH 233, ENGL 211/GSJ 211, ENGL 318, FINE 216/INDG 216, FR 276, FR 375, HIST 221, HIST 247, HIST 269, HIST 351, HIST 374, INDG 272/ANTH 272, MENN 125, RS 318/INDG 318, SOC 256, SOC 275, SOC 362', '3. two courses from any of the following language and culture subject codes: ARABIC,\xa0ASL, CHINA, CI,\xa0CROAT, DUTCH, EASIA, FR, GER, GRK, ITAL, ITALST, JAPAN, JS, KOREA, LAT, MOHAWK,\xa0PORT, REES, RUSS, SI, SPAN': [], '4. three additional courses from the second and third bullet lists above, and/or from the following list of Cultural Identities approved courses: ANTH 202, ANTH 221/GSJ 221, COMMST 226,\xa0ENGL 280, ENGL 291,\xa0ENGL 322, ENGL 463/GSJ 463, FINE 262/GSJ 262,\xa0HIST 201,\xa0HIST 224,\xa0HIST 271, HIST 305, INDEV 100, MUSIC 110, MUSIC 232, MUSIC 355, PACS 327, PACS 328, PACS 329/LS 344, PHIL 227/INDEV 300, RS 245/HIST 234, RS 284/GSJ 261': []}"
