Major,Year,Link,Requirements
Data Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Data-Science1.html,"{'1. One of': ['CS 136 Elementary Algorithm Design and Data Abstractiont', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '2. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '3. All of': ['CS 136L Tools and Techniques for Software Development', 'CS 240 Data Structures and Data Management', 'CS 241 Foundations of Sequential Programs', 'CS 245 Logic and Computation', 'CS 246 Object-Oriented Software Development', 'CS 251 Computer Organization and Design', 'CS 341 Algorithms', 'CS 348 Introduction to Database Management', 'STAT 341 Computational Statistics and Data Analysis'], '4. One of': ['CS 431 Data-Intensive Distributed Analytics', 'CS 451 Data-Intensive Distributed Computing'], '5. One of': ['CS 480 Introduction to Machine Learning', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 486 Introduction to Artificial Intelligence', 'STAT 441 Statistical Learning - Classification'], '6. Two additional courses from the following list': ['CS 480 Introduction to Machine Learning', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 486 Introduction to Artificial Intelligence', 'STAT 431 Generalized Linear Models and their Applications', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 442 Data Visualization', 'STAT 443 Forecasting', 'STAT 444 Statistical Learning - Advanced Regression']}"
Mathematical Finance,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Actuarial-Science-Mathematical-Finance1.html,"{'1. All of': ['AFM 101 Introduction to Financial Accounting or BUS 127W Introduction to Financial Accounting', 'AFM 102 Introduction to Managerial Accounting or BUS 247W Managerial Accounting', 'AFM 131/ARBUS 101 Introduction to Business in North America or BUS 111W Understanding the Business Environment', 'ACTSC 231 Introductory Financial Mathematics', 'ACTSC 372 Investment Science and Corporate Finance', 'ACTSC 445 Quantitative Enterprise Risk Management', 'ACTSC 446 Mathematics of Financial Markets', 'AMATH 242/CS 371 Introduction to Computational Mathematics or CS 335 Computational Methods in Business and Finance', 'AMATH 250 Introduction to Differential Equations or AMATH 251 Introduction to Differential Equations (Advanced Level) or AMATH 350 Differential Equations for Business and Economics', 'ECON 101 Introduction to Microeconomics or ECON 120W Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics or ECON 140W Introduction to Macroeconomics', 'ECON 201 Microeconomic Theory for Business and Policy or ECON 260W Intermediate Microeconomic Analysis for Management', 'MATH 247\xa0Calculus 3 (Advanced Level) or (MATH 237\xa0Calculus 3 for Honours Mathematics and PMATH 333\xa0Introduction to Real Analysis)', 'PMATH 351 Real Analysis', 'PMATH 450 Lebesgue Integration and Fourier Analysis', 'PMATH 451 Measure and Integration', 'STAT 330 Mathematical Statistics', 'STAT 331 Applied Linear Models', 'STAT 333\xa0Stochastic Processes 1', 'STAT 443 Forecasting'], '2. One of': ['AMATH 351 Ordinary Differential Equations 2', 'CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level)', 'PMATH 352 Complex Analysis'], '3. One of': ['AMATH 353 Partial Differential Equations 1', 'CO 372 Portfolio Optimization Models', 'CS 476 Numeric Computation for Financial Modeling', 'PMATH 453 Functional Analysis']}"
Information Technology Management,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Information-Techn-Mgt-Degree-Requirements.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '3. All of': ['AFM 101 Introduction to Financial Accounting', 'AFM 102 Introduction to Managerial Accounting', 'BUS 111W Understanding the Business Environment', 'BUS 121W Functional Areas of the Organization', 'BUS 352W Introduction to Marketing Management or MGMT 244/ARBUS 302 Principles of Marketing', 'BUS 481W Business Policy I', 'COMM 231', 'Commercial and Business Law for Mathematics Students', 'COMM 431 Project Management', 'COMM 432 Electronic Business', 'CS 230 Introduction to Computers and Computer Systems', 'CS 330 Management Information Systems', 'CS 338 Computer Applications in Business: Databases', 'CS 430 Applications Software Engineering', 'CS 436 Networks and Distributed Computer Systems', 'ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics', 'MATBUS 371 Introduction to Corporate Finance', 'MSCI 211 Organizational Behaviour', 'MSCI 311 Organizational Design and Technology', 'STAT 371 Applied Linear Models and Process Improvement for Business', 'STAT 372 Survey Sampling and Experimental Design Techniques for Business', 'STV 202 Design and Society'], '4. One additional 300- or 400-level STV course': [], '5. One additional 300- or 400-level math course': [], '6. Three additional courses (1.5 units)': []}"
Mathematical Economics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Mathematical-Economics-Degree-Requirements.html,"{'1. All of': ['ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics', 'ECON 290 Models of Choice in Competitive Markets', 'ECON 306 Macroeconomics', 'ECON 391 Equilibrium in Market Economies', 'ECON 393 Market Failures', 'ECON 472 Senior Honours Essay', 'ECON 491 Advanced Microeconomics', 'ECON 496 Advanced Macroeconomics'], '2. One of': ['ECON 406 Money and Banking 2', 'ECON 407 Economic Growth and Development 2', 'ECON 408 Business Cycles', 'ECON 409 Workers, Jobs, and Wages'], '3. Four (2.0 units) additional 300- or 400-level ECON courses (see Note 1)': []}"
Mathematics/Business Administration,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Mathematics-or-Business-Administration.html,"{'1. The Faculty of Mathematics, in co-operation with various academic units from other faculties at the University of Waterloo and the Lazaridis School of Business and Economics at Wilfrid Laurier University, offers the Honours Mathematics/Business Administration academic plan. Honours Mathematics/Business Administration is a restricted-enrolment academic plan. Most of the students enrolled in this academic plan are admitted at the Year One level directly into the Mathematics/Business Administration admission category.Students admitted to the Faculty of Mathematics in other admission categories may subsequently apply for transfer to Mathematics/Business Administration at a later date. However, to be admitted, such applicants will normally be required to have a Good or Excellent academic standing with a minimum cumulative overal average (CAV) of 70.0% based on at least 5.0 units of non-excluded courses. Applicants in good standing with less than a 70.0% CAV will also be considered on an individual basis if resources available at the time of their application should permit enrolling additional students in the academic plan. ': []}"
Mathematics/Chartered Professional Accountancy,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Math-or-Chartered-Professional-Accountancy-co.html,"{'1. Successful completion of the following courses: AFM 111; AFM 182; AFM 191;': ['COMM 103/ECON 100 or (one of ECON 101,', 'ECON 102);', 'one of CS 115, CS 135, CS 145; one of\xa0MATH 135,\xa0MATH 145; one of\xa0MATH 136,\xa0MATH 146; one of MATH 127,\xa0MATH 137,\xa0MATH 147; one of MATH 128,\xa0MATH 138,\xa0MATH 148; SPCOM 111.'], '2. These courses must be completed within 12 months of admission into the provisional year.': [], '3. A minimum cumulative average of 60% in all math courses taken to date.': [], '4. A minimum cumulative average of 70% in all AFM, COMM, and ECON courses taken to date.': [], '5. Be in Good or Excellent academic standing in the Faculty of Mathematics.': []}"
Mathematics/Chartered Professional Accountancy â Finance Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Chart-Prof-Accounting-Finance-Spec-Coop.html,"{'1.': 'ACTSC 231 Introductory Financial Mathematics', '2. Three of': ['AMATH 350 Differential Equations for Business and Economics', 'CS 335 Computational Methods in Business and Finance', 'CO 372 Portfolio Optimization Modals', 'MATBUS 470 Derivatives', 'MATBUS 471 Fixed Income Securities', 'MATBUS 472 Risk Management', 'STAT 334 Probability Models for Business and Accounting', 'STAT 341 Computational Statistics and Data Analysis'], '3. Two of': ['AFM 276 Financial Statement Analysis', 'AFM 321 Personal Financial Planning', 'AFM 322 Derivative Securities', 'AFM 324 Wealth Management', 'AFM 326 and AFM 426 Student Venture Fund (0.25 unit each)', 'AFM 328 and AFM 329, or AFM 328 and AFM 428, or AFM 329 and AFM 429 Investment Management (0.25 unit each)', 'AFM 333 International Business', 'AFM 334 International Study Experience', 'AFM 377 Private Equity and Venture Capital', 'AFM 415 Special Topics or AFM 416 Special Topics in Finance or AFM 417 Special Topics in Accounting', 'AFM 423 Topics in Financial Econometrics', 'AFM 424 Equity Investments', 'AFM 434 Governance and Enterprise Risk Management for Global Organizations', 'AFM 470 Financial Management of High Growth Companies', 'AFM 477 Mergers and Acquisitions', 'AFM 478 International Financial Management', 'SFM 310 Sustainability in Capital Markets', 'SFM 412\xa0Investor Behaviour'], '4. Two additional math courses (1.0 unit)': []}"
Mathematics/Financial Analysis and Risk Management,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Math-or-Fin-Analysis-Risk-Mgt-Degree-Reqmnt.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['ACTSC 231 Introductory Financial Mathematics', 'ACTSC 372 Investment Science and Corporate Finance', 'AFM 101 Introduction to Financial Accounting', 'AFM 102 Introduction to Managerial Accounting', 'AFM 131 Introduction to Business in North America', 'AMATH 350 Differential Equations for Business and Economics', 'COMM 101 Introduction to Financial Markets', 'COMM 231 Commercial and Business Law for Mathematics Students', 'CS 330 Management Information Systems', 'ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics', 'STAT 334 Probability Models for Business and Accounting or (STAT 330 Mathematical Statistics and STAT 333 Stochastic Processes 1)', 'STAT 371 Applied Linear Models and Process Improvement for Business'], '3. One of': ['ACTSC 446 Mathematics of Financial Markets', 'MATBUS 470 Derivatives'], '4. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '5. One of': ['CS 335 Computational Methods in Business and Finance', 'CS 476 Numeric Computation for Financial Modeling'], '6. Two additional 300- or 400-level math courses': [], '7. All of the courses required for one of the two specialization choices below': []}"
Mathematics/Teaching,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Mathematics-Teaching-co-op.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '3. All of': ['ACTSC 221 Introductory Financial Mathematics (Non-Specialist Level)', 'CO 250 Introduction to Optimization', 'CS 234 Data Types and Structures', 'MTHEL 206 Introduction to Mathematics Education', 'PSYCH 101/PSYCH 101R Introductory Psychology'], '4. One of': ['AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 343 Discrete Models in Applied Mathematics'], '5. One of': ['AMATH 331/PMATH 331 Applied Real Analysis', 'AMATH 332/PMATH 332 Applied Complex Analysis', 'PMATH 333 Introduction to Real Analysis'], '6. One of': ['CO 380 Mathematical Discovery and Invention', 'CO 480 History of Mathematics'], '7. One of': ['CS 230 Introduction to Computers and Computer Systems', 'CS 330 Management Information Systems', 'CS 338 Computer Applications in Business: Databases', 'CS 370 Numerical Computation', 'CS 430 Applications Software Engineering', 'CS 436 Networks and Distributed Computer Systems'], '8. One of': ['PMATH 320 Euclidean Geometry', 'PMATH 321 Non-Euclidean Geometry', 'PMATH 330 Introduction to Mathematical Logic', 'PMATH 340 Elementary Number Theory'], '9. One of': ['PMATH 334 Introduction to Rings and Fields with Applications', 'PMATH 336 Introduction to Group Theory with Applications', 'PMATH 347 Groups and Rings'], '10. One of': ['STAT 331 Applied Linear Models', 'STAT 332 Sampling and Experimental Design', 'STAT 333\xa0Stochastic Processes 1'], '11. One of': ['PSYCH 211 Developmental Psychology', 'PSYCH 212/PSYCH 212R Educational Psychology'], '12. Eight 300- or 400-level math courses, including any taken to satisfy the above requirements': []}"
Computational Mathematics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computational-Mathematics1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '3. All of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 230 Introduction to Computers and Computer Systems', 'CS 234 Data Types and Structures'], '4. Two of the following foundational courses, with different subject codes (AMATH, CO, CS, PMATH, or STAT)': ['AMATH 250\xa0Introduction to Differential Equations or AMATH 251\xa0Introduction to Differential Equations (Advanced Level) or AMATH 350\xa0Differential Equations for Business and Economics', 'CO 250 Introduction to Optimization or CO 255 Introduction to Optimization (Advanced Level) (see Note 3)', 'CS 245 Logic and Computation or PMATH 330 Introduction to Mathematical Logic', 'CS 246 Object-Oriented Software Development'], '5. Two courses from the following list of core courses': ['AMATH 342 Computational Methods for Differential Equations', 'CO 367 Nonlinear Optimization or CO 353 Computational Discrete Optimization', 'CS 475 Computational Linear Algebra', 'PMATH 370 Chaos and Fractals', 'STAT 340 Stochastic Simulation Methods or STAT 341 Computational Statistics and Data Analysis'], '6. Four additional courses, that may include any of the courses on the core courses list above, or may be chosen from the following list, using at least two different subject codes (from AMATH, CO, CS, PMATH, and STAT), and at least two of which must be 400-level courses': ['AMATH 343 Discrete Models in Applied Mathematics', 'AMATH 382/BIOL 382 Computational Modelling of Cellular Systems (see Note 5)', 'AMATH 383 Introduction to Mathematical Biology', 'AMATH 391 From Fourier to Wavelets', 'AMATH 442 Computational Methods for Partial Differential Equations', 'AMATH 455 Control Theory', 'AMATH 477 Stochastic Processes for Applied Mathematics', 'CO 351 Network Flow Theory', 'CO 370 Deterministic OR Models', 'CO 372 Portfolio Optimization Models', 'CO 450 Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization', 'CO 485 The Mathematics of Public-Key Cryptography', 'CO 487 Applied Cryptography', 'CS 341 Algorithms', 'CS 431 Data-Intensive Distributed Analytics or CS 451 Data-Intensive Distributed Computing', 'CS 466 Algorithm Design and Analysis', 'CS 476 Numerical Computation for Financial Modeling', 'CS 479 Neural Networks', 'CS 480 Introduction to Machine Learning', 'CS 482 Computational Techniques in Biological Sequence Analysis', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 487 Introduction to Symbolic Computation', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 442 Data Visualization', 'STAT 444 Statistical Learning - Function Estimation'], '7. Three (1.5 units) non-math courses, at least one of which must be at the 200-, 300-, or 400-level, from exactly one of the following Economics, Engineering, or Science subject codes: AE, BIOL, BME, CHE, CHEM, CIVE, EARTH, ECE, ECON, ENVE, GEOE, ME, MNS, MSCI, MTE, NE, PHYS, SYDE (other course concentrations may be eligible subject to approval by a Computational Mathematics academic advisor).': []}"
Mathematical Studies,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-MS-Degree-Requirements-Mathematical-Studies.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 116\xa0Introduction to Computer Science 2', 'CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '3. One of': ['MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)'], '4. One of': ['MATH 106 Applied Linear Algebra 1', 'MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '5. One of': ['MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '6. One of': ['MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 (Advanced Level)'], '7. One of': ['MATH 207 Calculus 3 (Non-Specialist Level)', 'MATH 229 Introduction to Combinatorics (Non-Specialist Level)', 'MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)', 'MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '8. One of': ['MATH 225 Applied Linear Algebra 2', 'MATH 235 Linear Algebra 2 for Honours Mathematics', 'MATH 245 Linear Algebra 2 (Advanced Level)'], '9. One of': ['STAT 220 Probability (Non-Specialist Level)', 'STAT 230 Probability', 'STAT 240 Probability (Advanced Level)'], '10. One of': ['STAT 221 Statistics (Non-Specialist Level)', 'STAT 231 Statistics', 'STAT 241 Statistics (Advanced Level)'], '11. Ten 300- or 400-level math courses': []}"
Mathematical Studies - Business Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-MS-Business-Specialization.html,"{'1. 24 math courses must be included.': [], '2. The following additional requirements on course selection must be included.': [], '3. One of': ['AFM 272/ACTSC 291 Corporate Finance 1', 'ACTSC 221 Introductory Financial Mathematics (Non-Specialist Level)', 'ACTSC 231 Introductory Financial Mathematics', 'ACTSC 371 Introduction to Investments'], '4. All of': ['AFM 101 Introduction to Financial Accounting', 'AFM 102 Introduction to Managerial Accounting', 'BUS 121W Functional Areas of the Organization', 'CS 330 Management Information Systems', 'ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics'], '5. One of': ['AFM 131/ARBUS 101 Introduction to Business in North America', 'BUS 111W Understanding the Business Environment'], '6. One of': ['ARBUS 302/MGMT 244\xa0Principles of Marketing', 'BUS 352W Introduction to Marketing Management'], '7. One of': ['CO 227 Introduction to Optimization (Non-Specialist Level)', 'CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '8. One of': ['CO 327 Deterministic OR Models (Non-Specialist Level)', 'CO 370 Deterministic OR Models'], '9. Two of': ['CS 200 Concepts for Advanced Computer Usage', 'CS 338 Computer Applications in Business: Databases', 'CS 430 Applications Software Engineering', 'STAT 340 Stochastic Simulation Methods'], '10. Three additional courses chosen from': ['LS 271/PACS 202 Conflict Resolution', 'LS 319/PACS 323 Negotiation: Theories and Strategies'], '11. Any AFM, BUS, COMM, ECON, HRM, MSCI, STV courses': [], '12. One of': ['STAT 321 Regression and Forecasting (Non-Specialist Level)', 'STAT 322 Sampling and Experimental Design (Non-Specialist Level)'], '13. Seven additional math courses (3.5 units)': [], '14. A minimum of 10 300- or 400-level math courses (5.0 units), including any taken to satisfy the requirements above': []}"
Computer Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Bachelor-of-Computer-Science-1.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '3. One of': ['MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '4. One of': ['MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 (Advanced Level)'], '5. One of': ['MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)'], '6. One of': ['MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '7. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '8. One of': ['STAT 230 Probability', 'STAT 240 Probability (Advanced Level)'], '9. One of': ['STAT 231 Statistics', 'STAT 241 Statistics (Advanced Level)'], '10. All of': ['CS 136L Tools and Techniques for Software Development', 'CS 240 Data Structures and Data Management', 'CS 241 Foundations of Sequential Programs', 'CS 245 Logic and Computation', 'CS 246 Object-Oriented Software Development', 'CS 251 Computer Organization and Design', 'CS 341 Algorithms', 'CS 350 Operating Systems'], '11. Three additional CS courses chosen from CS 340-CS 398, CS 440-CS 489': [], '12. Two additional CS courses chosen from CS 440-CS 489': [], '13. One additional course chosen from': ['CO 487 Applied Cryptography', 'CS 440-CS 498', 'CS 499T Honours Thesis', 'STAT 440 Computational Inference'], '14. CS 600- or 700-level courses': [], '15. Note: CS 600- or 700-level courses may be taken only if an equivalent 400-level course does not exist and special permission is obtained from the instructor and a CS academic advisor. Courses in this list may be counted as CS 0.5 unit.': [], '16. 5.0 non-math units, which must satisfy the following elective breadth and depth requirements': [], '17. Elective breadth requirements': ['1.0 unit of humanities from: CHINA, CLAS, CMW, CROAT, DAC, DUTCH, EASIA, ENGL, FINE, FR, GER, GRK, HIST, HUMSC, ITAL, ITALST, JAPAN, JS, KOREA, LAT, MEDVL, MUSIC, PHIL, PORT, REES, RS, RUSS, SI, SPAN, SPCOM, THPERF, VCULT', '1.0 unit of social sciences from: AFM, ANTH, APPLS, ARBUS, BET, BUS, COMM, ECON, ENBUS, GEOG, GSJ, HRM, INDEV, INDG, INTST,\xa0LS, MSCI, PACS, PSCI, PSYCH, REC, SDS, SMF, SOC, SOCWK, STV', '0.5 unit of pure sciences from: BIOL, CHEM, EARTH, PHYS, SCI', '0.5 unit pure and applied sciences from: pure sciences plus ENVS, ERS, HEALTH, KIN, MNS, PLAN'], '18. Elective depth requirements': ['1.5 units with the same subject, including at least 0.5 unit at 300-level or higher, or', '1.5 units with the same subject forming a prerequisite chain of length three']}"
Joint Computer Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Joint-Bachelor-of-Computer-Science-1.html,"{'1. One of': ['CS 115 Introduction to Computer Science 1', 'CS 135 Designing Functional Programs', 'CS 145 Designing Functional Programs (Advanced Level)'], '2. One of': ['CS 136 Elementary Algorithm Design and Data Abstraction', 'CS 146 Elementary Algorithm Design and Data Abstraction (Advanced Level)'], '3. One of': ['MATH 127 Calculus 1 for the Sciences', 'MATH 137 Calculus 1 for Honours Mathematics', 'MATH 147 Calculus 1 (Advanced Level)'], '4. One of': ['MATH 128 Calculus 2 for the Sciences', 'MATH 138 Calculus 2 for Honours Mathematics', 'MATH 148 Calculus 2 (Advanced Level)'], '5. One of': ['MATH 135 Algebra for Honours Mathematics', 'MATH 145 Algebra (Advanced Level)'], '6. One of': ['MATH 136 Linear Algebra 1 for Honours Mathematics', 'MATH 146 Linear Algebra 1 (Advanced Level)'], '7. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '8. One of': ['STAT 230 Probability', 'STAT 240 Probability (Advanced Level)'], '9. One of': ['STAT 231 Statistics', 'STAT 241 Statistics (Advanced Level)'], '10. All of': ['CS 136L Tools and Techniques for Software Development', 'CS 240 Data Structures and Data Management', 'CS 241 Foundations of Sequential Programs', 'CS 245 Logic and Computation', 'CS 246 Object-Oriented Software Development', 'CS 251 Computer Organization and Design', 'CS 341 Algorithms', 'CS 350 Operating Systems'], '11. One additional course chosen from CS 340-CS 398, CS 440-CS 489.': [], '12. Two additional courses chosen from CS 440-CS 489, CS 499T.': ['5.0 non-math units, which must satisfy the same restrictions as specified for the Bachelor of Computer Science.']}"
Artificial Intelligence Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Artificial-Intelligence-Spec.html,"{'1. All of': ['CS 486 Introduction to Artificial Intelligence', 'CS 492 The Social Implications of Computing'], '2. One of': ['CS 480 Introduction to Machine Learning', 'CS 485 Statistical and Computational Foundations of Machine Learning'], '3. One of': ['ECE 380 Analog Control Systems', 'SE 380 Introduction to Feedback Control'], '4. Three additional courses, one of which must be from Mathematics and one from Engineering, from': ['CO 367 Nonlinear Optimization', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CS 452 Real-time Programming', 'CS 480 Introduction to Machine Learning', 'CS 484 Computational Vision', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'STAT 341 Computational Statistics and Data Analysis', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 444 Statistical Learning - Advanced Regression', 'ECE 423 Embedded Computer Systems', 'ECE 481 Digital Control Systems', 'ECE 486 Robot Dynamics and Control', 'ECE 488 Multivariable Control Systems', 'MSCI 446 Data Mining', 'MTE 544 Autonomous Mobile Robots', 'SYDE 522\xa0Foundations of Artificial Intelligence', 'SYDE 556 Simulating Neurobiological Systems', 'SYDE 572 Introduction to Pattern Recognition']}"
Bioinformatics Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Bioinformatics-Spec.html,"{'1. Elective breadth and depth requirements are waived, and': [], '2. Both academic plans include the following additional requirements.': [], '3. All of': ['BIOL 130 Introductory Cell Biology', 'BIOL 130L Cell Biology Laboratory', 'BIOL 239 Genetics', 'BIOL 240 Fundamentals of Microbiology', 'BIOL 240L Microbiology Laboratory', 'BIOL 309 Analytical Methods in Molecular Biology', 'BIOL 365 Methods in Bioinformatics', 'BIOL 465 Structural Bioinformatics', 'CHEM 120 General Chemistry 1', 'CHEM 120L General Chemistry Laboratory 1', 'CHEM 123 General Chemistry 2', 'CHEM 123L General Chemistry Laboratory 2', 'CS 482 Computational Techniques in Biological Sequence Analysis']}"
Business Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Business-Spec.html,"{'1. Two of': ['CS 348 Introduction to Database Management', 'CS 454 Distributed Systems', 'CS 490 Information Systems Management'], '2. Six of': ['ACTSC 231 Introductory Financial Mathematics', 'ACTSC 371 Introduction to Investments', 'ACTSC 372 Corporate Finance', 'AFM 101 Introduction to Financial Accounting or AFM 123/ARBUS 102 Accounting Information for Managers', 'AFM 102 Introduction to Managerial Accounting', 'AFM 131/ARBUS 101 Introduction to Business in North America or BUS 111W Understanding the Business Environment', 'ARBUS 302/MGMT 244\xa0Principles of Marketing', 'BUS 121W Functional Areas of the Organization', 'BUS 362W Building and Managing Products, Services and Brands', 'BUS 481W Business Policy I', 'BUS 491W Business Policy II', 'COMM 400 Entrepreneurship, Technology and the Emerging Information Economy', 'ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics', 'HRM 200 Basic Human Resources Management', 'MGMT 220 Entrepreneurship and the Creative Workplace', 'MSCI 211 Organizational Behaviour or PSYCH 238 Organizational Psychology', 'MSCI 311 Organizational Design and Technology', 'MSCI 452 Decision Making Under Uncertainty']}"
Computational Fine Art Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Computational-Fine-Art-Spec.html,"{'1. All of': ['CS 349 User Interfaces', 'CS 383/FINE 383 Computational Digital Art Studio', 'CS 488 Introduction to Computer Graphics'], '2. One first-year studio course from': ['FINE 100 Studio Fundamentals', 'FINE 130\xa0Introduction to Digital Imaging'], '3. One second-year studio course from': ['FINE 228 Design and imaging', 'FINE 247 Expanded Media: Interaction'], '4. One art theory course from': ['FINE 257\xa0Video, New Media and the Digital Turn', 'VCULT 200 Visual Studies Across the Discipline']}"
