majors,Courses
"<a href=""/undergraduate-studies/2022-2023/page/MATH-AM-Engineering-Specialization.html"">Engineering Specialization</a>","{'AMATH 271': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH271', 'AMATH 361': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH361', 'AMATH 463': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH463', 'GENE 123': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-GENE.html#GENE123', 'ME 219': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME219', 'ME 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME250', 'ME 353': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME353', 'ME 354': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME354', 'ME 456': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME456', 'PHYS 122': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PHYS.html#PHYS122', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 340': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT340', 'ME 557': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME557', 'ME 564': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME564', 'ME 571': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ME.html#ME571', 'AMATH 455': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH455', 'ECE 207': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE207', 'ECE 240': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE240', 'ECE 318': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE318', 'ECE 380': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE380', 'CS 475': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS475', 'ECE 313': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE313', 'ECE 484': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE484', 'ECE 486': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE486', 'SYDE 544': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SYDE.html#SYDE544', 'SYDE 572': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SYDE.html#SYDE572', 'CHE 230': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE230', 'CHE 231': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE231', 'CHE 312': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE312', 'CHE 313': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE313', 'CHE 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE330', 'CHE 314': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE314', 'CHE 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE331', 'CHE 341': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE341', 'CHE 361': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE361', 'CHE 522': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHE.html#CHE522'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-AM-Physics-Specialization.html"">Physics Specialization</a>","{'AMATH 271': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH271', 'AMATH 361': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH361', 'AMATH 373': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH373', 'AMATH 463': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH463', 'AMATH 473': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH473', 'PHYS 454': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PHYS.html#PHYS454', 'AMATH 475': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH475', 'PHYS 476': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PHYS.html#PHYS476', 'ECE 403': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE403', 'PHYS 358': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PHYS.html#PHYS358', 'PHYS 121': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PHYS.html#PHYS121'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Combinatorics-and-Optimization2.html"">Combinatorics and Optimization</a>","{'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'CO 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO330', 'CO 342': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO342', 'CO 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO351', 'CO 353': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO353', 'CO 367': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO367', 'CO 450': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO450', 'CO 471': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO471', 'CO 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO331', 'CO 430': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO430', 'CO 487': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO487', 'CO 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO480', 'PMATH 336': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH336', 'PMATH 347': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH347', 'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'AMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH331', 'PMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH331', 'PMATH 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH333', 'AMATH 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH332', 'PMATH 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH332', 'CS 462': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS462', 'CS 466': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS466', 'CS 487': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS487', 'PMATH 334': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH334', 'PMATH 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH348', 'PMATH 340': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH340'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Joint-Combinatorics-and-Optimization1.html"">Joint Combinatorics and Optimization</a>","{'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'CO 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO330', 'CO 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO331', 'CO 342': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO342', 'CO 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO351', 'CO 353': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO353', 'CO 367': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO367', 'CO 430': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO430', 'CO 487': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO487', 'CO 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO480', 'PMATH 336': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH336', 'PMATH 347': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH347', 'AMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH331', 'PMATH 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH331', 'PMATH 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH333', 'AMATH 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH332', 'PMATH 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH332', 'CS 341': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS341', 'CS 360': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS360', 'CS 466': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS466', 'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'PMATH 334': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH334', 'PMATH 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH348', 'PMATH 340': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PMATH.html#PMATH340'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Mathematical-Optimization1.html"">Mathematical Optimization</a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'AMATH 242': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH242', 'CS 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS371', 'CS 370': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS370', 'CO 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO250', 'CO 255': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO255', 'CS 330': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS330', 'CS 490': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS490', 'AFM 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM101', 'CO 370': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO370', 'ECON 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON101', 'MSCI 211': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI211', 'STAT 340': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT340', 'CO 342': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO342', 'CO 351': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO351', 'CO 353': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO353', 'CO 367': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO367', 'CO 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO372', 'CO 450': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO450', 'CO 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO452', 'CO 454': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO454', 'CO 456': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO456', 'CO 463': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO463', 'CO 466': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO466', 'CO 471': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO471', 'CS 234': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS234', 'STAT 331': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT331', 'STAT 333': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT333', 'AFM 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM102', 'ECON 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON102', 'MSCI 311': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI311', 'MSCI 432': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI432', 'AMATH 250': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH250', 'CO 487': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO487', 'CS 338': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS338', 'CS 430': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS430', 'STAT 332': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT332', 'STAT 433': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT433', 'STAT 435': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT435', 'STAT 443': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT443', 'ACTSC 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC371', 'STAT 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT371', 'STAT 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT372', 'AMATH 350': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH350', 'CS 230': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS230', 'MSCI 436': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI436', 'STAT 440': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT440', 'STAT 442': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT442', 'STAT 444': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT444'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Bachelor-of-Mathematics-Computer-Science-1.html"">Computer Science</a>","{'MATH 237': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH237', 'MATH 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH247', 'MATH 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH239', 'MATH 249': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MATH.html#MATH249', 'CS 240': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS240', 'CS 241': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS241', 'CS 245': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS245', 'CS 246': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS246', 'CS 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS251', 'CS 341': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS341', 'CS 350': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS350', 'AMATH 242': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AMATH.html#AMATH242', 'CS 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS371', 'CS 370': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS370', 'CS 360': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS360', 'CS 365': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS365', 'CO 487': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO487', 'CS 499T': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS499T', 'STAT 440': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT440', 'ACTSC 221': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC221', 'CO 353': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO353', 'CO 380': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO380', 'CO 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO480'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Joint-Computer-Science-Bach-of-Math.html"">Joint Computer Science</a>",{}
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Artificial-Intelligence-Spec.html"">Artificial Intelligence Specialization</a>","{'CS 486': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS486', 'CS 492': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS492', 'CS 480': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS480', 'CS 485': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS485', 'ECE 380': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE380', 'SE 380': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SE.html#SE380', 'CO 367': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO367', 'CO 456': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO456', 'CO 463': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO463', 'CO 466': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CO.html#CO466', 'CS 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS452', 'CS 484': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS484', 'STAT 341': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT341', 'STAT 440': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT440', 'STAT 441': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT441', 'STAT 444': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-STAT.html#STAT444', 'ECE 423': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE423', 'ECE 481': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE481', 'ECE 486': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE486', 'ECE 488': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE488', 'MSCI 446': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI446', 'MTE 544': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MTE.html#MTE544', 'SYDE 522': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SYDE.html#SYDE522', 'SYDE 556': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SYDE.html#SYDE556', 'SYDE 572': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-SYDE.html#SYDE572'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Bioinformatics-Spec.html"">Bioinformatics Specialization</a>","{'BIOL 130': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL130', 'BIOL 130L': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL130L', 'BIOL 239': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL239', 'BIOL 240': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL240', 'BIOL 240L': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL240L', 'BIOL 309': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL309', 'BIOL 365': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL365', 'BIOL 465': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-BIOL.html#BIOL465', 'CHEM 120': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHEM.html#CHEM120', 'CHEM 120L': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHEM.html#CHEM120L', 'CHEM 123': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHEM.html#CHEM123', 'CHEM 123L': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CHEM.html#CHEM123L', 'CS 482': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS482'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Business-Spec.html"">Business Specialization</a>","{'CS 348': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS348', 'CS 454': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS454', 'CS 490': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS490', 'ACTSC 231': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC231', 'ACTSC 371': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC371', 'ACTSC 372': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ACTSC.html#ACTSC372', 'AFM 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM101', 'AFM 123': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM123', 'ARBUS 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ARBUS.html#ARBUS102', 'AFM 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM102', 'AFM 131': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-AFM.html#AFM131', 'ARBUS 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ARBUS.html#ARBUS101', 'ARBUS 302': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ARBUS.html#ARBUS302', 'MGMT 244': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MGMT.html#MGMT244', 'COMM 400': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-COMM.html#COMM400', 'ECON 101': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON101', 'ECON 102': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECON.html#ECON102', 'HRM 200': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-HRM.html#HRM200', 'MGMT 220': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MGMT.html#MGMT220', 'MSCI 211': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI211', 'PSYCH 238': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-PSYCH.html#PSYCH238', 'MSCI 311': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI311', 'MSCI 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MSCI.html#MSCI452'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Computational-Fine-Art-Spec.html"">Computational Fine Art Specialization</a>","{'CS 349': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS349', 'CS 383': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS383', 'FINE 383': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE383', 'CS 488': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS488', 'FINE 100': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE100', 'FINE 130': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE130', 'FINE 228': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE228', 'FINE 247': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE247', 'FINE 257': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-FINE.html#FINE257', 'VCULT 200': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-VCULT.html#VCULT200'}"
"<a href=""/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Digital-Hardware-Spec.html"">Digital Hardware Specialization</a>","{'ECE 222': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE222', 'CS 251': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS251', 'CS 452': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS452', 'CS 454': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS454', 'CS 456': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS456', 'CS 457': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS457', 'ECE 224': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE224', 'MTE 325': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MTE.html#MTE325', 'ECE 320': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE320', 'CS 450': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-CS.html#CS450', 'GENE 123': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-GENE.html#GENE123', 'MTE 120': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-MTE.html#MTE120', 'ECE 124': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE124', 'ECE 327': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE327', 'ECE 423': 'https://ucalendar.uwaterloo.ca/2223/COURSE/course-ECE.html#ECE423'}"
